date,series_key,value
2024-02-07,interbank_1m,3.21
2024-02-07,interbank_1w,3.86
2024-02-07,interbank_2w,3.89
2024-02-07,interbank_3m,3.06
2024-02-07,interbank_6m,4.07
2024-02-07,interbank_on,2.38
2024-02-15,interbank_1m,3.21
2024-02-15,interbank_1w,1.35
2024-02-15,interbank_2w,1.82
2024-02-15,interbank_3m,3.18
2024-02-15,interbank_6m,4.43
2024-02-15,interbank_on,1.31
2024-02-16,interbank_1m,1.85
2024-02-16,interbank_1w,1.27
2024-02-16,interbank_2w,1.39
2024-02-16,interbank_3m,3.36
2024-02-16,interbank_6m,3.92
2024-02-16,interbank_on,1.04
2024-02-19,interbank_1m,1.74
2024-02-19,interbank_1w,1.6
2024-02-19,interbank_2w,1.6
2024-02-19,interbank_3m,2.64
2024-02-19,interbank_6m,4.0
2024-02-19,interbank_on,1.41
2024-02-20,interbank_1m,2.26
2024-02-20,interbank_1w,2.24
2024-02-20,interbank_2w,1.94
2024-02-20,interbank_3m,3.46
2024-02-20,interbank_6m,4.27
2024-02-20,interbank_on,2.15
2024-02-21,interbank_1m,2.55
2024-02-21,interbank_1w,3.81
2024-02-21,interbank_2w,3.02
2024-02-21,interbank_3m,3.14
2024-02-21,interbank_6m,4.35
2024-02-21,interbank_on,4.14
2024-02-22,interbank_1m,2.14
2024-02-22,interbank_1w,3.79
2024-02-22,interbank_2w,2.93
2024-02-22,interbank_3m,3.22
2024-02-22,interbank_6m,4.01
2024-02-22,interbank_on,3.85
2024-02-23,interbank_1m,2.72
2024-02-23,interbank_1w,3.59
2024-02-23,interbank_2w,3.26
2024-02-23,interbank_3m,3.26
2024-02-23,interbank_6m,4.35
2024-02-23,interbank_on,3.66
2024-02-26,interbank_1m,2.8
2024-02-26,interbank_1w,3.48
2024-02-26,interbank_2w,2.83
2024-02-26,interbank_3m,3.12
2024-02-26,interbank_6m,4.04
2024-02-26,interbank_on,3.54
2024-02-27,interbank_1m,2.91
2024-02-27,interbank_1w,3.39
2024-02-27,interbank_2w,3.01
2024-02-27,interbank_3m,2.96
2024-02-27,interbank_6m,4.17
2024-02-27,interbank_on,3.32
2024-02-28,interbank_1m,2.58
2024-02-28,interbank_1w,2.52
2024-02-28,interbank_2w,2.67
2024-02-28,interbank_3m,2.9
2024-02-28,interbank_6m,4.45
2024-02-28,interbank_on,2.4
2024-02-29,interbank_1m,2.53
2024-02-29,interbank_1w,1.71
2024-02-29,interbank_2w,1.72
2024-02-29,interbank_3m,2.96
2024-02-29,interbank_6m,4.07
2024-02-29,interbank_on,1.46
2024-03-01,interbank_1m,1.94
2024-03-01,interbank_1w,1.68
2024-03-01,interbank_2w,1.68
2024-03-01,interbank_3m,2.86
2024-03-01,interbank_6m,3.93
2024-03-01,interbank_on,1.47
2024-03-04,interbank_1m,1.66
2024-03-04,interbank_1w,1.64
2024-03-04,interbank_2w,1.58
2024-03-04,interbank_3m,2.91
2024-03-04,interbank_6m,4.05
2024-03-04,interbank_on,1.48
2024-03-05,interbank_1m,2.45
2024-03-05,interbank_1w,1.64
2024-03-05,interbank_2w,1.51
2024-03-05,interbank_3m,3.37
2024-03-05,interbank_6m,4.26
2024-03-05,interbank_on,1.49
2024-03-06,interbank_1m,2.26
2024-03-06,interbank_1w,1.63
2024-03-06,interbank_2w,1.61
2024-03-06,interbank_3m,3.01
2024-03-06,interbank_6m,3.99
2024-03-06,interbank_on,1.49
2024-03-07,interbank_1m,2.13
2024-03-07,interbank_1w,1.32
2024-03-07,interbank_2w,1.35
2024-03-07,interbank_3m,3.3
2024-03-07,interbank_6m,4.12
