date,series_key,value
2015-01-16,d_round_0_5,108.84
2015-01-16,d_round_0_7,110.87
2015-01-16,d_round_0_9,108.8
2015-01-16,d_round_1_0,114.63
2015-01-16,d_round_1_5,114.37
2015-01-16,d_round_2_0,121.43
2015-01-16,d_round_3_0,167.13
2015-01-16,d_round_4_0,226.77
2015-01-16,d_round_5_0,184.06
2015-01-16,d_total,124.62
2015-01-17,d_round_0_5,107.8
2015-01-17,d_round_0_7,110.37
2015-01-17,d_round_0_9,108.61
2015-01-17,d_round_1_0,114.32
2015-01-17,d_round_1_5,114.06
2015-01-17,d_round_2_0,121.11
2015-01-17,d_round_3_0,167.38
2015-01-17,d_round_4_0,225.7
2015-01-17,d_round_5_0,183.87
2015-01-17,d_total,124.22
2015-01-18,d_round_0_5,106.99
2015-01-18,d_round_0_7,109.97
2015-01-18,d_round_0_9,108.32
2015-01-18,d_round_1_0,114.06
2015-01-18,d_round_1_5,113.96
2015-01-18,d_round_2_0,120.91
2015-01-18,d_round_3_0,166.98
2015-01-18,d_round_4_0,225.69
2015-01-18,d_round_5_0,183.85
2015-01-18,d_total,123.99
2015-01-19,d_round_0_5,106.88
2015-01-19,d_round_0_7,109.59
2015-01-19,d_round_0_9,107.98
2015-01-19,d_round_1_0,113.98
2015-01-19,d_round_1_5,113.95
2015-01-19,d_round_2_0,121.05
2015-01-19,d_round_3_0,167.16
2015-01-19,d_round_4_0,225.69
2015-01-19,d_round_5_0,183.81
2015-01-19,d_total,123.97
2015-01-20,d_round_0_5,107.12
2015-01-20,d_round_0_7,109.88
2015-01-20,d_round_0_9,108.3
2015-01-20,d_round_1_0,114.04
2015-01-20,d_round_1_5,113.9
2015-01-20,d_round_2_0,120.96
2015-01-20,d_round_3_0,167.24
2015-01-20,d_round_4_0,225.56
2015-01-20,d_round_5_0,183.95
2015-01-20,d_total,124.08
2015-01-21,d_round_0_5,107.08
2015-01-21,d_round_0_7,110.48
2015-01-21,d_round_0_9,108.68
2015-01-21,d_round_1_0,114.12
2015-01-21,d_round_1_5,113.87
2015-01-21,d_round_2_0,120.89
2015-01-21,d_round_3_0,167.33
2015-01-21,d_round_4_0,225.91
2015-01-21,d_round_5_0,184.16
2015-01-21,d_total,124.14
2015-01-22,d_round_0_5,107.09
2015-01-22,d_round_0_7,110.43
2015-01-22,d_round_0_9,108.74
2015-01-22,d_round_1_0,114.28
2015-01-22,d_round_1_5,113.86
2015-01-22,d_round_2_0,121.02
2015-01-22,d_round_3_0,167.8
2015-01-22,d_round_4_0,224.96
2015-01-22,d_round_5_0,184.4
2015-01-22,d_total,124.29
2015-01-23,d_round_0_5,107.2
2015-01-23,d_round_0_7,110.61
2015-01-23,d_round_0_9,108.62
2015-01-23,d_round_1_0,114.19
2015-01-23,d_round_1_5,113.81
2015-01-23,d_round_2_0,120.97
2015-01-23,d_round_3_0,167.48
2015-01-23,d_round_4_0,225.09
2015-01-23,d_round_5_0,184.1
2015-01-23,d_total,124.21
2015-01-24,d_round_0_5,107.0
2015-01-24,d_round_0_7,110.1
2015-01-24,d_round_0_9,108.46
2015-01-24,d_round_1_0,114.0
2015-01-24,d_round_1_5,113.87
2015-01-24,d_round_2_0,120.78
2015-01-24,d_round_3_0,167.46
2015-01-24,d_round_4_0,225.2
2015-01-24,d_round_5_0,183.96
2015-01-24,d_total,124.11
2015-01-25,d_round_0_5,106.96
2015-01-25,d_round_0_7,110.1
2015-01-25,d_round_0_9,108.1
2015-01-25,d_round_1_0,113.87
2015-01-25,d_round_1_5,113.82
2015-01-25,d_round_2_0,120.72
2015-01-25,d_round_3_0,167.31
2015-01-25,d_round_4_0,225.24
2015-01-25,d_round_5_0,183.97
2015-01-25,d_total,123.98
2015-01-26,d_round_0_5,106.94
2015-01-26,d_round_0_7,110.1
2015-01-26,d_round_0_9,108.11
2015-01-26,d_round_1_0,113.85
2015-01-26,d_round_1_5,113.78
2015-01-26,d_round_2_0,120.68
2015-01-26,d_round_3_0,167.4
2015-01-26,d_round_4_0,225.24
2015-01-26,d_round_5_0,183.84
2015-01-26,d_total,123.96
2015-01-27,d_round_0_5,106.93
2015-01-27,d_round_0_7,110.17
2015-01-27,d_round_0_9,108.03
2015-01-27,d_round_1_0,113.78
2015-01-27,d_round_1_5,113.71
2015-01-27,d_round_2_0,120.36
2015-01-27,d_round_3_0,166.81
2015-01-27,d_round_4_0,225.32
2015-01-27,d_round_5_0,183.69
2015-01-27,d_total,123.77
2015-01-28,d_round_0_5,106.81
2015-01-28,d_round_0_7,110.07
2015-01-28,d_round_0_9,108.08
2015-01-28,d_round_1_0,113.78
2015-01-28,d_round_1_5,113.73
2015-01-28,d_round_2_0,120.47
2015-01-28,d_round_3_0,167.2
2015-01-28,d_round_4_0,225.01
2015-01-28,d_round_5_0,183.57
2015-01-28,d_total,123.85
2015-01-29,d_round_0_5,106.78
2015-01-29,d_round_0_7,110.69
2015-01-29,d_round_0_9,108.5
