date,series_key,value
2026-04-14,vnindex,1800.65
2026-04-15,vnindex,1819.83
2026-04-16,vnindex,1817.17
2026-04-19,vnindex,1837.11
2026-04-20,vnindex,1833.48
2026-04-21,vnindex,1857.3
2026-04-22,vnindex,1870.36
2026-04-23,vnindex,1853.29
2026-04-27,vnindex,1875.84
2026-04-28,vnindex,1854.1
2026-05-03,vnindex,1854.06
2026-05-04,vnindex,1874.85
2026-05-05,vnindex,1891.2
2026-05-06,vnindex,1909.01
2026-05-07,vnindex,1915.37
2026-05-10,vnindex,1895.5
2026-05-11,vnindex,1901.1
2026-05-12,vnindex,1898.37
2026-05-13,vnindex,1925.46
2026-05-14,vnindex,1921.6
2026-05-17,vnindex,1927.94
2026-05-18,vnindex,1912.93
2026-05-19,vnindex,1913.23
2026-05-20,vnindex,1896.89
2026-05-21,vnindex,1877.13
2026-05-24,vnindex,1886.03
2026-05-25,vnindex,1884.18
2026-05-26,vnindex,1874.43
2026-05-27,vnindex,1863.67
2026-05-28,vnindex,1863.49
2026-05-31,vnindex,1844.54
2026-06-01,vnindex,1826.47
2026-06-02,vnindex,1819.01
2026-06-03,vnindex,1831.55
2026-06-04,vnindex,1838.9
2026-06-07,vnindex,1790.53
2026-06-08,vnindex,1793.05
2026-06-09,vnindex,1803.71
2026-06-10,vnindex,1798.61
2026-06-11,vnindex,1791.65
2026-06-14,vnindex,1799.31
2026-06-15,vnindex,1807.94
2026-06-16,vnindex,1806.2
2026-06-17,vnindex,1830.47
2026-06-18,vnindex,1824.53
2026-06-21,vnindex,1857.91
2026-06-22,vnindex,1869.04
2026-06-23,vnindex,1878.02
2026-06-24,vnindex,1863.07
2026-06-25,vnindex,1871.91
2026-06-28,vnindex,1854.97
2026-06-29,vnindex,1860.01
2026-06-30,vnindex,1867.21
2026-07-01,vnindex,1866.35
2026-07-02,vnindex,1862.08
2026-07-05,vnindex,1843.5
2026-07-06,vnindex,1848.25
2026-07-07,vnindex,1853.7
2026-07-08,vnindex,1840.7
2026-07-09,vnindex,1828.34
2026-07-12,vnindex,1800.54
2026-07-13,vnindex,1806.63
2026-07-14,vnindex,1782.12
